[0.000000] (-) TimerEvent: {}
[0.000082] (-) JobUnselected: {'identifier': 'cpp_srvcli'}
[0.000103] (-) JobUnselected: {'identifier': 'examples_rclcpp_async_client'}
[0.000135] (-) JobUnselected: {'identifier': 'examples_rclcpp_cbg_executor'}
[0.000149] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_client'}
[0.000162] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_server'}
[0.000176] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_client'}
[0.000189] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_composition'}
[0.000202] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_publisher'}
[0.000215] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_service'}
[0.000227] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_subscriber'}
[0.000246] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_timer'}
[0.000273] (-) JobUnselected: {'identifier': 'examples_rclcpp_multithreaded_executor'}
[0.000286] (-) JobUnselected: {'identifier': 'examples_rclcpp_wait_set'}
[0.000326] (-) JobUnselected: {'identifier': 'examples_rclpy_executors'}
[0.000338] (-) JobUnselected: {'identifier': 'examples_rclpy_guard_conditions'}
[0.000349] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_client'}
[0.000360] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_server'}
[0.000372] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_client'}
[0.000383] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_publisher'}
[0.000397] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_service'}
[0.000409] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_subscriber'}
[0.000421] (-) JobUnselected: {'identifier': 'examples_rclpy_pointcloud_publisher'}
[0.000432] (-) JobUnselected: {'identifier': 'launch_testing_examples'}
[0.000443] (-) JobUnselected: {'identifier': 'my_package'}
[0.000455] (-) JobUnselected: {'identifier': 'turtlesim'}
[0.000466] (-) JobUnselected: {'identifier': 'tutorial_interfaces'}
[0.000477] (-) JobUnselected: {'identifier': 'tutorial_interfaces'}
[0.000489] (-) EventReactorShutdown: {}
